ASV_56	41	0	0	0	5	0	0	15	0	0	0	0	0	0	0	0	193	11	0	0	0
ASV_57	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_58	28	0	0	0	100	0	0	22	0	0	0	0	0	0	0	0	106	0	0	0	0
ASV_59	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_60	0	0	0	0	0	0	0	0	0	0	0	0	117	137	0	0	0	0	0	0	0
ASV_61	27	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	107	49	20	24	0
ASV_62	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_63	0	39	9	0	0	0	0	28	0	0	0	0	0	0	26	17	5	19	0	96	6
ASV_64	39	0	0	0	0	0	0	31	0	0	0	0	0	0	14	12	102	19	20	0	0
ASV_65	35	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	75	39	31	23	0
ASV_66	13	18	0	0	16	0	0	36	0	0	0	0	0	0	25	12	36	18	18	28	0
ASV_67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	34	52	62	0
ASV_68	18	0	0	0	9	0	0	12	0	0	0	0	0	0	0	0	78	43	24	30	0
ASV_69	16	0	0	14	15	20	0	19	0	0	0	0	0	0	0	0	57	33	0	37	0
ASV_70	29	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	64	50	12	34	0
ASV_71	0	0	0	0	0	0	0	207	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	70	64	34	27	0
ASV_73	27	0	0	0	9	0	0	14	0	0	0	0	0	0	0	0	84	38	15	19	0
ASV_74	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	17	61	0	0	0	0
ASV_75	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_76	0	0	0	0	0	0	0	0	0	0	0	57	54	89	0	0	0	0	0	0	0
ASV_77	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	102	66	0	0	0
ASV_78	34	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	51	38	20	26	0
ASV_79	25	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	68	0	40	37	0
ASV_80	9	0	0	0	11	0	0	8	0	0	0	0	0	0	0	6	71	55	20	6	0
ASV_81	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_82	29	9	0	0	17	0	0	0	0	0	0	0	0	0	0	14	44	28	0	43	0
ASV_83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	167	17	0	0	0	0
ASV_84	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_85	19	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	52	35	31	29	0
ASV_86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0
ASV_87	28	0	0	0	0	0	0	15	0	0	0	0	0	0	9	0	62	53	0	0	0
ASV_88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	0
ASV_89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0
ASV_90	16	0	0	0	9	0	0	8	0	0	0	0	0	0	0	5	71	32	12	9	0
ASV_91	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	84	19	0	0	0
ASV_92	0	0	0	0	0	0	0	0	0	0	0	0	73	87	0	0	0	0	0	0	0
ASV_93	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_94	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	73	51	0	0
ASV_95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0	0	0
ASV_96	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_97	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0
ASV_98	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	60	29	20	30	0
ASV_99	46	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0
ASV_100	18	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	69	23	12	19	0
ASV_101	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	31	40	0
ASV_103	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_104	14	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	64	22	0	14	0
ASV_105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	31	0	28	0
ASV_106	0	0	0	0	16	0	0	0	0	0	0	0	0	0	16	0	27	52	0	25	0
ASV_107	9	4	0	0	7	0	0	11	0	0	0	0	0	0	0	0	35	40	18	11	0
ASV_108	31	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	47	35	0	12	0
ASV_109	26	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	28	33	0	21	0
ASV_110	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_111	0	0	0	0	5	0	0	14	0	0	0	0	0	0	0	5	41	44	17	7	0
ASV_112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0
ASV_113	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	18	27	0
ASV_114	0	7	0	0	0	0	0	35	0	0	0	0	0	0	0	0	82	0	0	0	0
ASV_115	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	23	16	18	0
ASV_116	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	19	11	0	0
ASV_117	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	32	19	0
ASV_118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	23	16	22	0
ASV_119	14	0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	46	14	10	24	0
ASV_120	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	21	26	0
ASV_121	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	96	0	0	0
ASV_122	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	50	27	0	27	0
ASV_123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	39	10	20	0
ASV_124	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	22	18	0
ASV_125	0	0	0	0	12	0	0	18	0	0	0	0	0	0	0	0	42	0	0	38	0
ASV_126	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	16	19	0
ASV_127	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_128	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	33	15	0	0
ASV_129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0	0	0	0	0	0
ASV_130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	0
ASV_131	18	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	32	12	0	21	0
ASV_132	4	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	37	22	5	23	0
ASV_133	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	44	13	0	14	0
ASV_134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	30	18	0	0
ASV_135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0
ASV_136	8	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	39	18	7	14	0
ASV_137	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0
ASV_139	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0
ASV_140	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	30	0	12	0
ASV_141	0	4	0	0	5	0	0	9	0	0	0	0	0	0	2	0	28	18	11	13	0
ASV_142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	8	16	18	0
ASV_143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0
ASV_144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0
ASV_145	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_146	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	20	0	20	0
ASV_147	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	38	18
ASV_148	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	8	0	0	0	66	0
ASV_149	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	34	0	0	19	0
ASV_150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	15	48	0
ASV_151	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	28	0
ASV_152	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	46	0
ASV_154	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_155	0	0	0	0	0	0	16	0	0	66	0	0	0	0	0	0	0	0	0	0	0
ASV_156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0
ASV_157	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	28	12	0	0
ASV_158	0	3	0	0	7	0	0	5	0	0	0	0	0	0	0	4	34	14	11	0	0
ASV_159	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_160	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0
ASV_161	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	17	10	10	0
ASV_162	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_163	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	43	0	0	0
ASV_164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0
ASV_165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0
ASV_166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0
ASV_167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0
ASV_168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	33	0
ASV_169	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	18	10	0	0
ASV_170	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_171	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_172	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	56	0	0	0	0
ASV_173	11	0	0	0	9	0	0	6	0	0	0	0	0	0	0	0	25	0	0	20	0
ASV_174	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	41	0	0	0
ASV_176	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0
ASV_177	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	21	0	9	0
ASV_178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	13	16	0	0
ASV_179	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	16	0
ASV_181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	43	0
ASV_182	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	16	0	28	0
ASV_183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	58	0	0	0
ASV_184	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	21	0	11	0
ASV_185	7	0	0	0	0	0	0	7	0	0	0	0	0	0	9	0	25	12	0	7	0
ASV_186	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	33	0
ASV_187	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	36	0
ASV_188	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	5	38	0	0	18	0
ASV_189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	0	36	0
ASV_190	12	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	27	10	13	0	0
ASV_191	7	0	0	0	8	0	0	6	0	0	0	0	0	0	0	0	25	19	0	0	0
ASV_192	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	14	0	0	0
ASV_193	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0
